nohup: ignoring input
--- input variables ---
model path : results/variable_0/loss_0.0452_acc_65.51%_epoch_11.pt
learning rate : 0.010000
image size : 256
batch size : 32
epochs : 100
use cuda device : cuda:0
data root path : /HDD2/image_net/ILSVRC/Data/CLS-LOC/
class name path : /HDD2/image_net/LOC_synset_mapping.txt
Train Epoch 1 | [64/732000 (0.01%)] Loss 0.0116, Accuaracy 76.56%
Train Epoch 46 | [294464/732000 (40.23%)] Loss 0.0024, Accuaracy 95.15%
Train Epoch 46 | [307264/732000 (41.98%)] Loss 0.0024, Accuaracy 95.11%
Train Epoch 46 | [320064/732000 (43.72%)] Loss 0.0024, Accuaracy 95.08%
Train Epoch 46 | [332864/732000 (45.47%)] Loss 0.0024, Accuaracy 95.07%
Train Epoch 46 | [345664/732000 (47.22%)] Loss 0.0024, Accuaracy 95.07%
Train Epoch 46 | [358464/732000 (48.97%)] Loss 0.0024, Accuaracy 95.07%
Train Epoch 46 | [371264/732000 (50.72%)] Loss 0.0024, Accuaracy 95.04%
Train Epoch 46 | [384064/732000 (52.47%)] Loss 0.0024, Accuaracy 95.04%
Train Epoch 46 | [396864/732000 (54.22%)] Loss 0.0024, Accuaracy 95.03%
Train Epoch 46 | [409664/732000 (55.97%)] Loss 0.0024, Accuaracy 95.02%
Train Epoch 46 | [422464/732000 (57.71%)] Loss 0.0024, Accuaracy 95.01%
Train Epoch 46 | [435264/732000 (59.46%)] Loss 0.0025, Accuaracy 95.00%
Train Epoch 46 | [448064/732000 (61.21%)] Loss 0.0025, Accuaracy 94.98%
Train Epoch 46 | [460864/732000 (62.96%)] Loss 0.0025, Accuaracy 94.97%
Train Epoch 46 | [473664/732000 (64.71%)] Loss 0.0025, Accuaracy 94.95%
Train Epoch 46 | [486464/732000 (66.46%)] Loss 0.0025, Accuaracy 94.93%
Train Epoch 46 | [499264/732000 (68.21%)] Loss 0.0025, Accuaracy 94.91%
Train Epoch 46 | [512064/732000 (69.95%)] Loss 0.0025, Accuaracy 94.90%
Train Epoch 46 | [524864/732000 (71.70%)] Loss 0.0025, Accuaracy 94.90%
Train Epoch 46 | [537664/732000 (73.45%)] Loss 0.0025, Accuaracy 94.88%
Train Epoch 46 | [550464/732000 (75.20%)] Loss 0.0025, Accuaracy 94.87%
Train Epoch 46 | [563264/732000 (76.95%)] Loss 0.0025, Accuaracy 94.86%
Train Epoch 46 | [576064/732000 (78.70%)] Loss 0.0025, Accuaracy 94.84%
Train Epoch 46 | [588864/732000 (80.45%)] Loss 0.0025, Accuaracy 94.83%
Train Epoch 46 | [601664/732000 (82.19%)] Loss 0.0025, Accuaracy 94.81%
Train Epoch 46 | [614464/732000 (83.94%)] Loss 0.0025, Accuaracy 94.80%
Train Epoch 46 | [627264/732000 (85.69%)] Loss 0.0025, Accuaracy 94.79%
Train Epoch 46 | [640064/732000 (87.44%)] Loss 0.0026, Accuaracy 94.79%
Train Epoch 46 | [652864/732000 (89.19%)] Loss 0.0026, Accuaracy 94.78%
Train Epoch 46 | [665664/732000 (90.94%)] Loss 0.0026, Accuaracy 94.77%
Train Epoch 46 | [678464/732000 (92.69%)] Loss 0.0026, Accuaracy 94.76%
Train Epoch 46 | [691264/732000 (94.43%)] Loss 0.0026, Accuaracy 94.75%
Train Epoch 46 | [704064/732000 (96.18%)] Loss 0.0026, Accuaracy 94.74%
Train Epoch 46 | [716864/732000 (97.93%)] Loss 0.0026, Accuaracy 94.73%
Train Epoch 46 | [729664/732000 (99.68%)] Loss 0.0026, Accuaracy 94.73%
Train Epoch 46 | Avarage Loss 0.0026, Average Accuracy 94.72%
Valid Epoch 46 | [32/50000 (0.06%)] Loss 0.0672, Accuaracy 65.62%
Valid Epoch 46 | [1632/50000 (3.26%)] Loss 0.0733, Accuaracy 66.48%
Valid Epoch 46 | [3232/50000 (6.46%)] Loss 0.0721, Accuaracy 67.54%
Valid Epoch 46 | [4832/50000 (9.66%)] Loss 0.0722, Accuaracy 67.43%
Valid Epoch 46 | [6432/50000 (12.86%)] Loss 0.0724, Accuaracy 67.88%
Valid Epoch 46 | [8032/50000 (16.06%)] Loss 0.0731, Accuaracy 67.24%
Valid Epoch 46 | [9632/50000 (19.26%)] Loss 0.0728, Accuaracy 67.14%
Valid Epoch 46 | [11232/50000 (22.46%)] Loss 0.0735, Accuaracy 67.12%
Valid Epoch 46 | [12832/50000 (25.66%)] Loss 0.0734, Accuaracy 67.07%
Valid Epoch 46 | [14432/50000 (28.86%)] Loss 0.0743, Accuaracy 66.78%
Valid Epoch 46 | [16032/50000 (32.06%)] Loss 0.0735, Accuaracy 66.91%
Valid Epoch 46 | [17632/50000 (35.26%)] Loss 0.0734, Accuaracy 66.91%
Valid Epoch 46 | [19232/50000 (38.46%)] Loss 0.0736, Accuaracy 66.81%
Valid Epoch 46 | [20832/50000 (41.66%)] Loss 0.0742, Accuaracy 66.64%
Valid Epoch 46 | [22432/50000 (44.86%)] Loss 0.0747, Accuaracy 66.55%
Valid Epoch 46 | [24032/50000 (48.06%)] Loss 0.0744, Accuaracy 66.67%
Valid Epoch 46 | [25632/50000 (51.26%)] Loss 0.0746, Accuaracy 66.65%
Valid Epoch 46 | [27232/50000 (54.46%)] Loss 0.0745, Accuaracy 66.69%
Valid Epoch 46 | [28832/50000 (57.66%)] Loss 0.0746, Accuaracy 66.67%
Valid Epoch 46 | [30432/50000 (60.86%)] Loss 0.0744, Accuaracy 66.69%
Valid Epoch 46 | [32032/50000 (64.06%)] Loss 0.0743, Accuaracy 66.75%
Valid Epoch 46 | [33632/50000 (67.26%)] Loss 0.0742, Accuaracy 66.80%
Valid Epoch 46 | [35232/50000 (70.46%)] Loss 0.0741, Accuaracy 66.85%
Valid Epoch 46 | [36832/50000 (73.66%)] Loss 0.0740, Accuaracy 66.87%
Valid Epoch 46 | [38432/50000 (76.86%)] Loss 0.0738, Accuaracy 66.96%
Valid Epoch 46 | [40032/50000 (80.06%)] Loss 0.0739, Accuaracy 66.91%
Valid Epoch 46 | [41632/50000 (83.26%)] Loss 0.0737, Accuaracy 66.92%
Valid Epoch 46 | [43232/50000 (86.46%)] Loss 0.0738, Accuaracy 66.92%
Valid Epoch 46 | [44832/50000 (89.66%)] Loss 0.0736, Accuaracy 66.93%
Valid Epoch 46 | [46432/50000 (92.86%)] Loss 0.0738, Accuaracy 66.86%
Valid Epoch 46 | [48032/50000 (96.06%)] Loss 0.0741, Accuaracy 66.78%
Valid Epoch 46 | [49632/50000 (99.26%)] Loss 0.0739, Accuaracy 66.88%
Valid Epoch 46 | Avarage Loss 0.0738, Average Accuracy 66.90%
Train Epoch 47 | [64/732000 (0.01%)] Loss 0.0019, Accuaracy 96.88%
Train Epoch 47 | [12864/732000 (1.76%)] Loss 0.0021, Accuaracy 95.87%
Train Epoch 47 | [25664/732000 (3.51%)] Loss 0.0020, Accuaracy 95.96%
Train Epoch 47 | [38464/732000 (5.25%)] Loss 0.0021, Accuaracy 95.83%
Train Epoch 47 | [51264/732000 (7.00%)] Loss 0.0021, Accuaracy 95.73%
Train Epoch 47 | [64064/732000 (8.75%)] Loss 0.0021, Accuaracy 95.69%
Train Epoch 47 | [76864/732000 (10.50%)] Loss 0.0021, Accuaracy 95.61%
Train Epoch 47 | [89664/732000 (12.25%)] Loss 0.0021, Accuaracy 95.65%
Train Epoch 47 | [102464/732000 (14.00%)] Loss 0.0022, Accuaracy 95.58%
Train Epoch 47 | [115264/732000 (15.75%)] Loss 0.0022, Accuaracy 95.50%
Train Epoch 47 | [128064/732000 (17.50%)] Loss 0.0022, Accuaracy 95.48%
Train Epoch 47 | [140864/732000 (19.24%)] Loss 0.0022, Accuaracy 95.46%
Train Epoch 47 | [153664/732000 (20.99%)] Loss 0.0022, Accuaracy 95.44%
Train Epoch 47 | [166464/732000 (22.74%)] Loss 0.0022, Accuaracy 95.44%
Train Epoch 47 | [179264/732000 (24.49%)] Loss 0.0022, Accuaracy 95.44%
Train Epoch 47 | [192064/732000 (26.24%)] Loss 0.0022, Accuaracy 95.41%
Train Epoch 47 | [204864/732000 (27.99%)] Loss 0.0022, Accuaracy 95.40%
Train Epoch 47 | [217664/732000 (29.74%)] Loss 0.0023, Accuaracy 95.35%
Train Epoch 47 | [230464/732000 (31.48%)] Loss 0.0023, Accuaracy 95.33%
Train Epoch 47 | [243264/732000 (33.23%)] Loss 0.0023, Accuaracy 95.32%
Train Epoch 47 | [256064/732000 (34.98%)] Loss 0.0023, Accuaracy 95.30%
Train Epoch 47 | [268864/732000 (36.73%)] Loss 0.0023, Accuaracy 95.29%
Train Epoch 47 | [281664/732000 (38.48%)] Loss 0.0023, Accuaracy 95.26%
Train Epoch 47 | [294464/732000 (40.23%)] Loss 0.0023, Accuaracy 95.26%
Train Epoch 47 | [307264/732000 (41.98%)] Loss 0.0023, Accuaracy 95.22%
Train Epoch 47 | [320064/732000 (43.72%)] Loss 0.0024, Accuaracy 95.21%
Train Epoch 47 | [332864/732000 (45.47%)] Loss 0.0024, Accuaracy 95.19%
Train Epoch 47 | [345664/732000 (47.22%)] Loss 0.0024, Accuaracy 95.18%
Train Epoch 47 | [358464/732000 (48.97%)] Loss 0.0024, Accuaracy 95.18%
Train Epoch 47 | [371264/732000 (50.72%)] Loss 0.0024, Accuaracy 95.16%
Train Epoch 47 | [384064/732000 (52.47%)] Loss 0.0024, Accuaracy 95.15%
Train Epoch 47 | [396864/732000 (54.22%)] Loss 0.0024, Accuaracy 95.15%
Train Epoch 47 | [409664/732000 (55.97%)] Loss 0.0024, Accuaracy 95.14%
Train Epoch 47 | [422464/732000 (57.71%)] Loss 0.0024, Accuaracy 95.13%
Train Epoch 47 | [435264/732000 (59.46%)] Loss 0.0024, Accuaracy 95.10%
Train Epoch 47 | [448064/732000 (61.21%)] Loss 0.0024, Accuaracy 95.09%
Train Epoch 47 | [460864/732000 (62.96%)] Loss 0.0024, Accuaracy 95.07%
Train Epoch 47 | [473664/732000 (64.71%)] Loss 0.0024, Accuaracy 95.05%
Train Epoch 47 | [486464/732000 (66.46%)] Loss 0.0024, Accuaracy 95.03%
Train Epoch 47 | [499264/732000 (68.21%)] Loss 0.0024, Accuaracy 95.02%
Train Epoch 47 | [512064/732000 (69.95%)] Loss 0.0024, Accuaracy 95.01%
Train Epoch 47 | [524864/732000 (71.70%)] Loss 0.0025, Accuaracy 95.00%
Train Epoch 47 | [537664/732000 (73.45%)] Loss 0.0025, Accuaracy 94.99%
Train Epoch 47 | [550464/732000 (75.20%)] Loss 0.0025, Accuaracy 94.98%
Train Epoch 47 | [563264/732000 (76.95%)] Loss 0.0025, Accuaracy 94.98%
Train Epoch 47 | [576064/732000 (78.70%)] Loss 0.0025, Accuaracy 94.97%
Train Epoch 47 | [588864/732000 (80.45%)] Loss 0.0025, Accuaracy 94.95%
Train Epoch 47 | [601664/732000 (82.19%)] Loss 0.0025, Accuaracy 94.94%
Train Epoch 47 | [614464/732000 (83.94%)] Loss 0.0025, Accuaracy 94.94%
Train Epoch 47 | [627264/732000 (85.69%)] Loss 0.0025, Accuaracy 94.94%
Train Epoch 47 | [640064/732000 (87.44%)] Loss 0.0025, Accuaracy 94.93%
Train Epoch 47 | [652864/732000 (89.19%)] Loss 0.0025, Accuaracy 94.92%
Train Epoch 47 | [665664/732000 (90.94%)] Loss 0.0025, Accuaracy 94.90%
Train Epoch 47 | [678464/732000 (92.69%)] Loss 0.0025, Accuaracy 94.89%
Train Epoch 47 | [691264/732000 (94.43%)] Loss 0.0025, Accuaracy 94.88%
Train Epoch 47 | [704064/732000 (96.18%)] Loss 0.0025, Accuaracy 94.87%
Train Epoch 47 | [716864/732000 (97.93%)] Loss 0.0025, Accuaracy 94.86%
Train Epoch 47 | [729664/732000 (99.68%)] Loss 0.0025, Accuaracy 94.85%
Train Epoch 47 | Avarage Loss 0.0025, Average Accuracy 94.85%
Valid Epoch 47 | [32/50000 (0.06%)] Loss 0.0166, Accuaracy 84.38%
Valid Epoch 47 | [1632/50000 (3.26%)] Loss 0.0713, Accuaracy 67.65%
Valid Epoch 47 | [3232/50000 (6.46%)] Loss 0.0701, Accuaracy 68.35%
Valid Epoch 47 | [4832/50000 (9.66%)] Loss 0.0733, Accuaracy 67.88%
Valid Epoch 47 | [6432/50000 (12.86%)] Loss 0.0738, Accuaracy 67.83%
Valid Epoch 47 | [8032/50000 (16.06%)] Loss 0.0742, Accuaracy 67.57%
Valid Epoch 47 | [9632/50000 (19.26%)] Loss 0.0737, Accuaracy 67.92%
Valid Epoch 47 | [11232/50000 (22.46%)] Loss 0.0744, Accuaracy 67.33%
Valid Epoch 47 | [12832/50000 (25.66%)] Loss 0.0753, Accuaracy 67.21%
Valid Epoch 47 | [14432/50000 (28.86%)] Loss 0.0752, Accuaracy 67.11%
Valid Epoch 47 | [16032/50000 (32.06%)] Loss 0.0751, Accuaracy 67.05%
Valid Epoch 47 | [17632/50000 (35.26%)] Loss 0.0758, Accuaracy 66.73%
Valid Epoch 47 | [19232/50000 (38.46%)] Loss 0.0758, Accuaracy 66.56%
Valid Epoch 47 | [20832/50000 (41.66%)] Loss 0.0754, Accuaracy 66.73%
Valid Epoch 47 | [22432/50000 (44.86%)] Loss 0.0751, Accuaracy 66.79%
Valid Epoch 47 | [24032/50000 (48.06%)] Loss 0.0751, Accuaracy 66.79%
Valid Epoch 47 | [25632/50000 (51.26%)] Loss 0.0756, Accuaracy 66.74%
Valid Epoch 47 | [27232/50000 (54.46%)] Loss 0.0757, Accuaracy 66.73%
Valid Epoch 47 | [28832/50000 (57.66%)] Loss 0.0755, Accuaracy 66.69%
Valid Epoch 47 | [30432/50000 (60.86%)] Loss 0.0751, Accuaracy 66.77%
Valid Epoch 47 | [32032/50000 (64.06%)] Loss 0.0750, Accuaracy 66.84%
Valid Epoch 47 | [33632/50000 (67.26%)] Loss 0.0750, Accuaracy 66.77%
Valid Epoch 47 | [35232/50000 (70.46%)] Loss 0.0751, Accuaracy 66.78%
Valid Epoch 47 | [36832/50000 (73.66%)] Loss 0.0753, Accuaracy 66.75%
Valid Epoch 47 | [38432/50000 (76.86%)] Loss 0.0753, Accuaracy 66.73%
Valid Epoch 47 | [40032/50000 (80.06%)] Loss 0.0754, Accuaracy 66.71%
Valid Epoch 47 | [41632/50000 (83.26%)] Loss 0.0752, Accuaracy 66.73%
Valid Epoch 47 | [43232/50000 (86.46%)] Loss 0.0751, Accuaracy 66.76%
Valid Epoch 47 | [44832/50000 (89.66%)] Loss 0.0748, Accuaracy 66.78%
Valid Epoch 47 | [46432/50000 (92.86%)] Loss 0.0747, Accuaracy 66.74%
Valid Epoch 47 | [48032/50000 (96.06%)] Loss 0.0747, Accuaracy 66.72%
Valid Epoch 47 | [49632/50000 (99.26%)] Loss 0.0747, Accuaracy 66.69%
Valid Epoch 47 | Avarage Loss 0.0748, Average Accuracy 66.67%
Train Epoch 48 | [64/732000 (0.01%)] Loss 0.0008, Accuaracy 98.44%
Train Epoch 48 | [12864/732000 (1.76%)] Loss 0.0020, Accuaracy 95.86%
Train Epoch 48 | [25664/732000 (3.51%)] Loss 0.0020, Accuaracy 95.94%
Train Epoch 48 | [38464/732000 (5.25%)] Loss 0.0020, Accuaracy 95.78%
Train Epoch 48 | [51264/732000 (7.00%)] Loss 0.0021, Accuaracy 95.76%
Train Epoch 48 | [64064/732000 (8.75%)] Loss 0.0021, Accuaracy 95.76%
Train Epoch 48 | [76864/732000 (10.50%)] Loss 0.0021, Accuaracy 95.72%
Train Epoch 48 | [89664/732000 (12.25%)] Loss 0.0021, Accuaracy 95.68%
Train Epoch 48 | [102464/732000 (14.00%)] Loss 0.0021, Accuaracy 95.67%
Train Epoch 48 | [115264/732000 (15.75%)] Loss 0.0022, Accuaracy 95.60%
Train Epoch 48 | [128064/732000 (17.50%)] Loss 0.0022, Accuaracy 95.54%
Train Epoch 48 | [140864/732000 (19.24%)] Loss 0.0022, Accuaracy 95.54%
Train Epoch 48 | [153664/732000 (20.99%)] Loss 0.0022, Accuaracy 95.52%
Train Epoch 48 | [166464/732000 (22.74%)] Loss 0.0022, Accuaracy 95.49%
Train Epoch 48 | [179264/732000 (24.49%)] Loss 0.0022, Accuaracy 95.45%
Train Epoch 48 | [192064/732000 (26.24%)] Loss 0.0022, Accuaracy 95.44%
Train Epoch 48 | [204864/732000 (27.99%)] Loss 0.0022, Accuaracy 95.42%
Train Epoch 48 | [217664/732000 (29.74%)] Loss 0.0022, Accuaracy 95.41%
Train Epoch 48 | [230464/732000 (31.48%)] Loss 0.0023, Accuaracy 95.37%
Train Epoch 48 | [243264/732000 (33.23%)] Loss 0.0023, Accuaracy 95.35%
Train Epoch 48 | [256064/732000 (34.98%)] Loss 0.0023, Accuaracy 95.34%
Train Epoch 48 | [268864/732000 (36.73%)] Loss 0.0023, Accuaracy 95.33%
Train Epoch 48 | [281664/732000 (38.48%)] Loss 0.0023, Accuaracy 95.30%
Train Epoch 48 | [294464/732000 (40.23%)] Loss 0.0023, Accuaracy 95.28%
Train Epoch 48 | [307264/732000 (41.98%)] Loss 0.0023, Accuaracy 95.25%
Train Epoch 48 | [320064/732000 (43.72%)] Loss 0.0023, Accuaracy 95.24%
Train Epoch 48 | [332864/732000 (45.47%)] Loss 0.0023, Accuaracy 95.23%
Train Epoch 48 | [345664/732000 (47.22%)] Loss 0.0023, Accuaracy 95.20%
Train Epoch 48 | [358464/732000 (48.97%)] Loss 0.0023, Accuaracy 95.19%
Train Epoch 48 | [371264/732000 (50.72%)] Loss 0.0024, Accuaracy 95.17%
Train Epoch 48 | [384064/732000 (52.47%)] Loss 0.0023, Accuaracy 95.17%
Train Epoch 48 | [396864/732000 (54.22%)] Loss 0.0024, Accuaracy 95.16%
Train Epoch 48 | [409664/732000 (55.97%)] Loss 0.0024, Accuaracy 95.14%
Train Epoch 48 | [422464/732000 (57.71%)] Loss 0.0024, Accuaracy 95.13%
Train Epoch 48 | [435264/732000 (59.46%)] Loss 0.0024, Accuaracy 95.12%
Train Epoch 48 | [448064/732000 (61.21%)] Loss 0.0024, Accuaracy 95.12%
Train Epoch 48 | [460864/732000 (62.96%)] Loss 0.0024, Accuaracy 95.11%
Train Epoch 48 | [473664/732000 (64.71%)] Loss 0.0024, Accuaracy 95.11%
Train Epoch 48 | [486464/732000 (66.46%)] Loss 0.0024, Accuaracy 95.10%
Train Epoch 48 | [499264/732000 (68.21%)] Loss 0.0024, Accuaracy 95.09%
Train Epoch 48 | [512064/732000 (69.95%)] Loss 0.0024, Accuaracy 95.09%
Train Epoch 48 | [524864/732000 (71.70%)] Loss 0.0024, Accuaracy 95.07%
Train Epoch 48 | [537664/732000 (73.45%)] Loss 0.0024, Accuaracy 95.05%
Train Epoch 48 | [550464/732000 (75.20%)] Loss 0.0024, Accuaracy 95.03%
Train Epoch 48 | [563264/732000 (76.95%)] Loss 0.0024, Accuaracy 95.02%
Train Epoch 48 | [576064/732000 (78.70%)] Loss 0.0024, Accuaracy 95.00%
Train Epoch 48 | [588864/732000 (80.45%)] Loss 0.0024, Accuaracy 95.00%
Train Epoch 48 | [601664/732000 (82.19%)] Loss 0.0024, Accuaracy 94.98%
Train Epoch 48 | [614464/732000 (83.94%)] Loss 0.0025, Accuaracy 94.97%
Train Epoch 48 | [627264/732000 (85.69%)] Loss 0.0025, Accuaracy 94.96%
Train Epoch 48 | [640064/732000 (87.44%)] Loss 0.0025, Accuaracy 94.94%
Train Epoch 48 | [652864/732000 (89.19%)] Loss 0.0025, Accuaracy 94.93%
Train Epoch 48 | [665664/732000 (90.94%)] Loss 0.0025, Accuaracy 94.92%
Train Epoch 48 | [678464/732000 (92.69%)] Loss 0.0025, Accuaracy 94.91%
Train Epoch 48 | [691264/732000 (94.43%)] Loss 0.0025, Accuaracy 94.90%
Train Epoch 48 | [704064/732000 (96.18%)] Loss 0.0025, Accuaracy 94.89%
Train Epoch 48 | [716864/732000 (97.93%)] Loss 0.0025, Accuaracy 94.89%
Train Epoch 48 | [729664/732000 (99.68%)] Loss 0.0025, Accuaracy 94.89%
Train Epoch 48 | Avarage Loss 0.0025, Average Accuracy 94.89%
Valid Epoch 48 | [32/50000 (0.06%)] Loss 0.0763, Accuaracy 71.88%
Valid Epoch 48 | [1632/50000 (3.26%)] Loss 0.0814, Accuaracy 66.42%
Valid Epoch 48 | [3232/50000 (6.46%)] Loss 0.0799, Accuaracy 66.18%
Valid Epoch 48 | [4832/50000 (9.66%)] Loss 0.0770, Accuaracy 66.51%
Valid Epoch 48 | [6432/50000 (12.86%)] Loss 0.0767, Accuaracy 66.57%
Valid Epoch 48 | [8032/50000 (16.06%)] Loss 0.0763, Accuaracy 66.66%
Valid Epoch 48 | [9632/50000 (19.26%)] Loss 0.0766, Accuaracy 66.68%
Valid Epoch 48 | [11232/50000 (22.46%)] Loss 0.0759, Accuaracy 67.09%
Valid Epoch 48 | [12832/50000 (25.66%)] Loss 0.0768, Accuaracy 66.69%
Valid Epoch 48 | [14432/50000 (28.86%)] Loss 0.0771, Accuaracy 66.53%
Valid Epoch 48 | [16032/50000 (32.06%)] Loss 0.0765, Accuaracy 66.70%
Valid Epoch 48 | [17632/50000 (35.26%)] Loss 0.0765, Accuaracy 66.60%
Valid Epoch 48 | [19232/50000 (38.46%)] Loss 0.0763, Accuaracy 66.81%
Valid Epoch 48 | [20832/50000 (41.66%)] Loss 0.0764, Accuaracy 66.84%
Valid Epoch 48 | [22432/50000 (44.86%)] Loss 0.0763, Accuaracy 66.91%
Valid Epoch 48 | [24032/50000 (48.06%)] Loss 0.0755, Accuaracy 67.20%
Valid Epoch 48 | [25632/50000 (51.26%)] Loss 0.0756, Accuaracy 67.16%
Valid Epoch 48 | [27232/50000 (54.46%)] Loss 0.0756, Accuaracy 67.14%
Valid Epoch 48 | [28832/50000 (57.66%)] Loss 0.0756, Accuaracy 67.12%
Valid Epoch 48 | [30432/50000 (60.86%)] Loss 0.0757, Accuaracy 67.12%
Valid Epoch 48 | [32032/50000 (64.06%)] Loss 0.0758, Accuaracy 67.10%
Valid Epoch 48 | [33632/50000 (67.26%)] Loss 0.0758, Accuaracy 67.12%
Valid Epoch 48 | [35232/50000 (70.46%)] Loss 0.0760, Accuaracy 67.12%
Valid Epoch 48 | [36832/50000 (73.66%)] Loss 0.0758, Accuaracy 67.07%
Valid Epoch 48 | [38432/50000 (76.86%)] Loss 0.0758, Accuaracy 67.02%
Valid Epoch 48 | [40032/50000 (80.06%)] Loss 0.0759, Accuaracy 67.07%
Valid Epoch 48 | [41632/50000 (83.26%)] Loss 0.0758, Accuaracy 67.08%
Valid Epoch 48 | [43232/50000 (86.46%)] Loss 0.0755, Accuaracy 67.13%
Valid Epoch 48 | [44832/50000 (89.66%)] Loss 0.0755, Accuaracy 67.09%
Valid Epoch 48 | [46432/50000 (92.86%)] Loss 0.0755, Accuaracy 67.16%
Valid Epoch 48 | [48032/50000 (96.06%)] Loss 0.0757, Accuaracy 67.09%
Valid Epoch 48 | [49632/50000 (99.26%)] Loss 0.0757, Accuaracy 67.08%
Valid Epoch 48 | Avarage Loss 0.0758, Average Accuracy 67.09%
Train Epoch 49 | [64/732000 (0.01%)] Loss 0.0007, Accuaracy 98.44%
Train Epoch 49 | [12864/732000 (1.76%)] Loss 0.0019, Accuaracy 96.00%
Train Epoch 49 | [25664/732000 (3.51%)] Loss 0.0019, Accuaracy 95.96%
Train Epoch 49 | [38464/732000 (5.25%)] Loss 0.0020, Accuaracy 95.88%
Train Epoch 49 | [51264/732000 (7.00%)] Loss 0.0020, Accuaracy 95.86%
Train Epoch 49 | [64064/732000 (8.75%)] Loss 0.0020, Accuaracy 95.84%
Train Epoch 49 | [76864/732000 (10.50%)] Loss 0.0020, Accuaracy 95.84%
Train Epoch 49 | [89664/732000 (12.25%)] Loss 0.0021, Accuaracy 95.74%
Train Epoch 49 | [102464/732000 (14.00%)] Loss 0.0021, Accuaracy 95.70%
Train Epoch 49 | [115264/732000 (15.75%)] Loss 0.0021, Accuaracy 95.65%
Train Epoch 49 | [128064/732000 (17.50%)] Loss 0.0021, Accuaracy 95.69%
Train Epoch 49 | [140864/732000 (19.24%)] Loss 0.0021, Accuaracy 95.67%
Train Epoch 49 | [153664/732000 (20.99%)] Loss 0.0021, Accuaracy 95.61%
Train Epoch 49 | [166464/732000 (22.74%)] Loss 0.0021, Accuaracy 95.60%
Train Epoch 49 | [179264/732000 (24.49%)] Loss 0.0022, Accuaracy 95.57%
Train Epoch 49 | [192064/732000 (26.24%)] Loss 0.0022, Accuaracy 95.54%
Train Epoch 49 | [204864/732000 (27.99%)] Loss 0.0022, Accuaracy 95.51%
Train Epoch 49 | [217664/732000 (29.74%)] Loss 0.0022, Accuaracy 95.47%
Train Epoch 49 | [230464/732000 (31.48%)] Loss 0.0022, Accuaracy 95.44%
Train Epoch 49 | [243264/732000 (33.23%)] Loss 0.0022, Accuaracy 95.43%
Train Epoch 49 | [256064/732000 (34.98%)] Loss 0.0023, Accuaracy 95.42%
Train Epoch 49 | [268864/732000 (36.73%)] Loss 0.0023, Accuaracy 95.40%
Train Epoch 49 | [281664/732000 (38.48%)] Loss 0.0023, Accuaracy 95.39%
Train Epoch 49 | [294464/732000 (40.23%)] Loss 0.0023, Accuaracy 95.37%
Train Epoch 49 | [307264/732000 (41.98%)] Loss 0.0023, Accuaracy 95.35%
Train Epoch 49 | [320064/732000 (43.72%)] Loss 0.0023, Accuaracy 95.34%
Train Epoch 49 | [332864/732000 (45.47%)] Loss 0.0023, Accuaracy 95.32%
Train Epoch 49 | [345664/732000 (47.22%)] Loss 0.0023, Accuaracy 95.31%
Train Epoch 49 | [358464/732000 (48.97%)] Loss 0.0023, Accuaracy 95.30%
Train Epoch 49 | [371264/732000 (50.72%)] Loss 0.0023, Accuaracy 95.29%
Train Epoch 49 | [384064/732000 (52.47%)] Loss 0.0023, Accuaracy 95.28%
Train Epoch 49 | [396864/732000 (54.22%)] Loss 0.0023, Accuaracy 95.26%
Train Epoch 49 | [409664/732000 (55.97%)] Loss 0.0023, Accuaracy 95.27%
Train Epoch 49 | [422464/732000 (57.71%)] Loss 0.0023, Accuaracy 95.25%
Train Epoch 49 | [435264/732000 (59.46%)] Loss 0.0023, Accuaracy 95.25%
Train Epoch 49 | [448064/732000 (61.21%)] Loss 0.0023, Accuaracy 95.23%
Train Epoch 49 | [460864/732000 (62.96%)] Loss 0.0024, Accuaracy 95.22%
Train Epoch 49 | [473664/732000 (64.71%)] Loss 0.0024, Accuaracy 95.20%
Train Epoch 49 | [486464/732000 (66.46%)] Loss 0.0024, Accuaracy 95.19%
Train Epoch 49 | [499264/732000 (68.21%)] Loss 0.0024, Accuaracy 95.19%
Train Epoch 49 | [512064/732000 (69.95%)] Loss 0.0024, Accuaracy 95.18%
Train Epoch 49 | [524864/732000 (71.70%)] Loss 0.0024, Accuaracy 95.17%
Train Epoch 49 | [537664/732000 (73.45%)] Loss 0.0024, Accuaracy 95.16%
Train Epoch 49 | [550464/732000 (75.20%)] Loss 0.0024, Accuaracy 95.15%
Train Epoch 49 | [563264/732000 (76.95%)] Loss 0.0024, Accuaracy 95.15%
Train Epoch 49 | [576064/732000 (78.70%)] Loss 0.0024, Accuaracy 95.14%
Train Epoch 49 | [588864/732000 (80.45%)] Loss 0.0024, Accuaracy 95.14%
Train Epoch 49 | [601664/732000 (82.19%)] Loss 0.0024, Accuaracy 95.12%
Train Epoch 49 | [614464/732000 (83.94%)] Loss 0.0024, Accuaracy 95.12%
Train Epoch 49 | [627264/732000 (85.69%)] Loss 0.0024, Accuaracy 95.11%
Train Epoch 49 | [640064/732000 (87.44%)] Loss 0.0024, Accuaracy 95.10%
Train Epoch 49 | [652864/732000 (89.19%)] Loss 0.0024, Accuaracy 95.09%
